pm25,HR,CorrDiff,Diffusion,Reg,LR-interp,FLAML,RF
2.263069915771e+01,7.350900378386e-03,8.059568985278e-03,8.141401331711e-03,8.051383204752e-03,8.468674467888e-03,6.573630461539e-03,1.216617937570e-02
2.279466056824e+01,7.225363612110e-03,7.933377990996e-03,7.991517857050e-03,7.918261243709e-03,8.302694398561e-03,6.418536527338e-03,1.172891841246e-02
2.295862197876e+01,7.099047906436e-03,7.809636670872e-03,7.842170643919e-03,7.789799536892e-03,8.139568746761e-03,6.281503357625e-03,1.127995669909e-02
2.312258529663e+01,6.973226140932e-03,7.687341460911e-03,7.694957888602e-03,7.664698906629e-03,7.979701913296e-03,6.158985684172e-03,1.083953668335e-02
2.328654670715e+01,6.849607630257e-03,7.565857244833e-03,7.551699759453e-03,7.541791037230e-03,7.823528945978e-03,6.038515173649e-03,1.042271889380e-02
2.345050811768e+01,6.729741401603e-03,7.445054808718e-03,7.414353471863e-03,7.420417643469e-03,7.671512337943e-03,5.913688837574e-03,1.003601864160e-02
2.361446952820e+01,6.614544695401e-03,7.325366242580e-03,7.284747318748e-03,7.300497610754e-03,7.524225106562e-03,5.789907701106e-03,9.682167562267e-03
2.377843093872e+01,6.504131240396e-03,7.207613318650e-03,7.164135829527e-03,7.182271485108e-03,7.382430547472e-03,5.675827294376e-03,9.368626311823e-03
2.394239234924e+01,6.398035522922e-03,7.092605360135e-03,7.052745785979e-03,7.065933648292e-03,7.247077348804e-03,5.571226182744e-03,9.110026992785e-03
2.410635375977e+01,6.295727712955e-03,6.980673030449e-03,6.949527254098e-03,6.951403384405e-03,7.119144131137e-03,5.464646267952e-03,8.918389870681e-03
2.427031517029e+01,6.197140961503e-03,6.871411232186e-03,6.852270488726e-03,6.838373419568e-03,6.999347963319e-03,5.343548390306e-03,8.787877069240e-03
2.443427658081e+01,6.102902292175e-03,6.763828833305e-03,6.758105513656e-03,6.726579665524e-03,6.887814724182e-03,5.206347945934e-03,8.689750589708e-03
2.459823799133e+01,6.014119916731e-03,6.656871547815e-03,6.664235553731e-03,6.616092485494e-03,6.783847372131e-03,5.064342617592e-03,8.584725440103e-03
2.476219940186e+01,5.931843722725e-03,6.550046419487e-03,6.568647217710e-03,6.507427017336e-03,6.685901555171e-03,4.933456744327e-03,8.442618745733e-03
2.492616081238e+01,5.856510187525e-03,6.443797816131e-03,6.470542756109e-03,6.401398668109e-03,6.591806038329e-03,4.824361703356e-03,8.253876976051e-03
2.509012222290e+01,5.787682999544e-03,6.339422315476e-03,6.370354426371e-03,6.298816309628e-03,6.499186165861e-03,4.737008064310e-03,8.027248475421e-03
2.525408363342e+01,5.724217484497e-03,6.238569716312e-03,6.269374812702e-03,6.200200654625e-03,6.405990332393e-03,4.660735590044e-03,7.778702519783e-03
2.541804695129e+01,5.664736932985e-03,6.142589653647e-03,6.169185835987e-03,6.105684868315e-03,6.310988725253e-03,4.579613376000e-03,7.520860058814e-03
2.558200836182e+01,5.608160234967e-03,6.052038636707e-03,6.071133809476e-03,6.015139607395e-03,6.214117975148e-03,4.481659848772e-03,7.260271365015e-03
2.574596977234e+01,5.554004871881e-03,5.966523909922e-03,5.976016906710e-03,5.928411020004e-03,6.116547119063e-03,4.367067672527e-03,7.002483520974e-03
2.590993118286e+01,5.502338326953e-03,5.884917852164e-03,5.884062388842e-03,5.845536964298e-03,6.020439829640e-03,4.247776582297e-03,6.757621575063e-03
2.607389259338e+01,5.453402520275e-03,5.805793808104e-03,5.795100680691e-03,5.766800067488e-03,5.928441431331e-03,4.137352034474e-03,6.539694934780e-03
2.623785400391e+01,5.407102203459e-03,5.727900979234e-03,5.708803490051e-03,5.692592772238e-03,5.843036369597e-03,4.041736285695e-03,6.359730674303e-03
2.640181541443e+01,5.362614854704e-03,5.650507681202e-03,5.624864175157e-03,5.623158675787e-03,5.765964727028e-03,3.959543422926e-03,6.218432099265e-03
2.656577682495e+01,5.318336509043e-03,5.573508942578e-03,5.543071197006e-03,5.558330647934e-03,5.697863498091e-03,3.887202713629e-03,6.104949694095e-03
2.672973823547e+01,5.272221138672e-03,5.497282831039e-03,5.463294632196e-03,5.497383987480e-03,5.638208893135e-03,3.820863404449e-03,6.003387677349e-03
2.689369964600e+01,5.222366936428e-03,5.422374143378e-03,5.385434469029e-03,5.439074332009e-03,5.585527200786e-03,3.755417209384e-03,5.901504656440e-03
2.705766105652e+01,5.167568613432e-03,5.349156579108e-03,5.309368448074e-03,5.381858270354e-03,5.537766176205e-03,3.684888981517e-03,5.795282177028e-03
2.722162246704e+01,5.107586606427e-03,5.277636702734e-03,5.234915336311e-03,5.324224157920e-03,5.492703090926e-03,3.604882973398e-03,5.688411626714e-03
2.738558387756e+01,5.043069157798e-03,5.207492400236e-03,5.161822025095e-03,5.265014823002e-03,5.448300366143e-03,3.515112789670e-03,5.588209742746e-03
2.754954528809e+01,4.975268633536e-03,5.138310486431e-03,5.089788646558e-03,5.203623460823e-03,5.402973936999e-03,3.419816319033e-03,5.498797176375e-03
2.771350860596e+01,4.905764174548e-03,5.069874345505e-03,5.018543129481e-03,5.139997158332e-03,5.355779962354e-03,3.325196405928e-03,5.415396375075e-03
2.787747001648e+01,4.836303775474e-03,5.002334113053e-03,4.947958614161e-03,5.074477788780e-03,5.306537906610e-03,3.235894574005e-03,5.326344946633e-03
2.804143142700e+01,4.768691415741e-03,4.936157940394e-03,4.878155664056e-03,5.007572928554e-03,5.255873887514e-03,3.153251605905e-03,5.222819163108e-03
2.820539283752e+01,4.704601216851e-03,4.871923376192e-03,4.809543713088e-03,4.939791384352e-03,5.205157044992e-03,3.076171452036e-03,5.106702213965e-03
2.836935424805e+01,4.645263703200e-03,4.810072860588e-03,4.742746185148e-03,4.871592304259e-03,5.156277669702e-03,3.003503913546e-03,4.988646184574e-03
2.853331565857e+01,4.591148836490e-03,4.750771031421e-03,4.678417294673e-03,4.803420898649e-03,5.111267922992e-03,2.935653718812e-03,4.879306140915e-03
2.869727706909e+01,4.541838392310e-03,4.693911577598e-03,4.617000701080e-03,4.735746289017e-03,5.071834045783e-03,2.873674978021e-03,4.782393709405e-03
2.886123847961e+01,4.496189249539e-03,4.639224220549e-03,4.558510056921e-03,4.669042580213e-03,5.038927326510e-03,2.816917156187e-03,4.694401247071e-03
2.902519989014e+01,4.452706975214e-03,4.586388767417e-03,4.502415343511e-03,4.603728257674e-03,5.012481687575e-03,2.761938335108e-03,4.609675851538e-03
